tamano_n,algoritmo,condicion,codigo_buscado,encontrado,posicion,comparaciones,tiempo_segundos
100,Secuencial,inicio,0,True,0,1,6.000000002615025e-06
100,Binaria,inicio,0,True,0,6,5.099999999202964e-06
100,Secuencial,centro,50,True,50,51,7.499999998827889e-06
100,Binaria,centro,50,True,50,6,3.5999999994373866e-06
100,Secuencial,final,99,True,99,100,1.2399999999246347e-05
100,Binaria,final,99,True,99,7,3.1999999983156613e-06
100,Secuencial,inexistente,1000099,False,-1,100,1.2300000001630451e-05
100,Binaria,inexistente,1000099,False,-1,7,3.3000000030369847e-06
1000,Secuencial,inicio,0,True,0,1,3.5999999994373866e-06
1000,Binaria,inicio,0,True,0,9,6.900000002474371e-06
1000,Secuencial,centro,500,True,500,501,6.690000000020291e-05
1000,Binaria,centro,500,True,500,9,5.50000000032469e-06
1000,Secuencial,final,999,True,999,1000,0.00014020000000058985
1000,Binaria,final,999,True,999,10,6.400000000184036e-06
1000,Secuencial,inexistente,1000999,False,-1,1000,0.00012870000000120285
1000,Binaria,inexistente,1000999,False,-1,10,4.9999999980343546e-06
10000,Secuencial,inicio,0,True,0,1,6.700000000137152e-06
10000,Binaria,inicio,0,True,0,13,8.19999999990273e-06
10000,Secuencial,centro,5000,True,5000,5001,0.0005301000000024203
10000,Binaria,centro,5000,True,5000,13,5.999999999062311e-06
10000,Secuencial,final,9999,True,9999,10000,0.0011318000000031248
10000,Binaria,final,9999,True,9999,14,8.499999999855845e-06
10000,Secuencial,inexistente,1009999,False,-1,10000,0.0010989999999999611
10000,Binaria,inexistente,1009999,False,-1,14,5.800000000277805e-06
100000,Secuencial,inicio,0,True,0,1,6.2999999990154265e-06
100000,Binaria,inicio,0,True,0,16,1.100000000064938e-05
100000,Secuencial,centro,50000,True,50000,50001,0.004910800000001103
100000,Binaria,centro,50000,True,50000,16,9.900000002005527e-06
100000,Secuencial,final,99999,True,99999,100000,0.009681499999999232
100000,Binaria,final,99999,True,99999,17,7.799999998781004e-06
100000,Secuencial,inexistente,1099999,False,-1,100000,0.011366999999999905
100000,Binaria,inexistente,1099999,False,-1,17,9.500000000883801e-06
