tamano_n,algoritmo,condicion,codigo_buscado,encontrado,posicion,comparaciones,tiempo_segundos
100,Secuencial,inicio,0,True,0,1,4.00003045797348e-06
100,Binaria,inicio,0,True,0,6,3.3999094739556313e-06
100,Secuencial,centro,50,True,50,51,4.200031980872154e-06
100,Binaria,centro,50,True,50,6,1.700012944638729e-06
100,Secuencial,final,99,True,99,100,6.299931555986404e-06
100,Binaria,final,99,True,99,7,1.300009898841381e-06
100,Secuencial,inexistente,1000099,False,-1,100,6.400048732757568e-06
100,Binaria,inexistente,1000099,False,-1,7,1.500011421740055e-06
1000,Secuencial,inicio,0,True,0,1,2.199900336563587e-06
1000,Binaria,inicio,0,True,0,9,3.200024366378784e-06
1000,Secuencial,centro,500,True,500,501,3.330002073198557e-05
1000,Binaria,centro,500,True,500,9,2.800021320581436e-06
1000,Secuencial,final,999,True,999,1000,8.099991828203201e-05
1000,Binaria,final,999,True,999,10,3.400025889277458e-06
1000,Secuencial,inexistente,1000999,False,-1,1000,9.089999366551638e-05
1000,Binaria,inexistente,1000999,False,-1,10,2.400018274784088e-06
10000,Secuencial,inicio,0,True,0,1,4.200031980872154e-06
10000,Binaria,inicio,0,True,0,13,6.299931555986404e-06
10000,Secuencial,centro,5000,True,5000,5001,0.0005231000250205398
10000,Binaria,centro,5000,True,5000,13,5.100038833916187e-06
10000,Secuencial,final,9999,True,9999,10000,0.0010159999364987016
10000,Binaria,final,9999,True,9999,14,4.400033503770828e-06
10000,Secuencial,inexistente,1009999,False,-1,10000,0.0009892999660223722
10000,Binaria,inexistente,1009999,False,-1,14,4.999921657145023e-06
100000,Secuencial,inicio,0,True,0,1,3.8000289350748062e-06
100000,Binaria,inicio,0,True,0,16,7.3999399319291115e-06
100000,Secuencial,centro,50000,True,50000,50001,0.0036271000280976295
100000,Binaria,centro,50000,True,50000,16,5.500041879713535e-06
100000,Secuencial,final,99999,True,99999,100000,0.007120200083591044
100000,Binaria,final,99999,True,99999,17,4.199915565550327e-06
100000,Secuencial,inexistente,1099999,False,-1,100000,0.008683499996550381
100000,Binaria,inexistente,1099999,False,-1,17,8.399947546422482e-06
